transaction_id,kept_order_id,trashed_order_id
4459424,24644,25001
4459424,24644,25050
4459424,24644,25107
4459424,24644,25156
4459424,24644,25205
4459424,24644,25254
4459424,24644,25303
4458393,24646,24695
4458393,24646,24744
4458393,24646,24807
4458393,24646,24856
4458393,24646,24905
4458393,24646,24954
4458393,24646,25003
4458393,24646,25052
4458393,24646,25109
4458393,24646,25158
4458393,24646,25207
4458393,24646,25256
4458393,24646,25305
4458339,24647,24696
4458339,24647,24745
4458339,24647,24808
4458339,24647,24857
4458339,24647,24906
4458339,24647,24955
4458339,24647,25004
4458339,24647,25053
4458339,24647,25110
4458339,24647,25159
4458339,24647,25208
4458339,24647,25257
4458339,24647,25306
4458320,24648,24697
4458320,24648,24746
4458320,24648,24809
4458320,24648,24858
4458320,24648,24907
4458320,24648,24956
4458320,24648,25005
4458320,24648,25054
4458320,24648,25111
4458320,24648,25160
4458320,24648,25209
4458320,24648,25258
4458320,24648,25307
4457916,24649,24698
4457916,24649,24747
4457916,24649,24810
4457916,24649,24859
4457916,24649,24908
4457916,24649,24957
4457916,24649,25006
4457916,24649,25055
4457916,24649,25112
4457916,24649,25161
4457916,24649,25210
4457916,24649,25259
4457916,24649,25308
4455662,24650,24699
4455662,24650,24748
4455662,24650,24811
4455662,24650,24860
4455662,24650,24909
4455662,24650,24958
4455662,24650,25007
4455662,24650,25056
4455662,24650,25113
4455662,24650,25162
4455662,24650,25211
4455662,24650,25260
4455662,24650,25309
4454789,24651,24700
4454789,24651,24749
4454789,24651,24812
4454789,24651,24861
4454789,24651,24910
4454789,24651,24959
4454789,24651,25008
4454789,24651,25057
4454789,24651,25114
4454789,24651,25163
4454789,24651,25212
4454789,24651,25261
4454789,24651,25310
4451938,24652,24701
4451938,24652,24750
4451938,24652,24813
4451938,24652,24862
4451938,24652,24911
4451938,24652,24960
4451938,24652,25009
4451938,24652,25058
4451938,24652,25115
4451938,24652,25164
4451938,24652,25213
4451938,24652,25262
4451938,24652,25311
4458681,24645,24694
4458681,24645,24743
4458681,24645,24806
4458681,24645,24855
4458681,24645,24904
4458681,24645,24953
4458681,24645,25002
4458681,24645,25051
4458681,24645,25108
4458681,24645,25157
4458681,24645,25206
4458681,24645,25255
4458681,24645,25304
4447861,24653,24702
4447861,24653,24751
4447861,24653,24814
4447861,24653,24863
4447861,24653,24912
4447861,24653,24961
4447861,24653,25010
4447861,24653,25059
4447861,24653,25116
4447861,24653,25165
4447861,24653,25214
4447861,24653,25263
4447861,24653,25312
4445060,24655,24704
4445060,24655,24753
4445060,24655,24816
4445060,24655,24865
4445060,24655,24914
4445060,24655,24963
4445060,24655,25012
4445060,24655,25061
4445060,24655,25118
4445060,24655,25167
4445060,24655,25216
4445060,24655,25265
4445060,24655,25314
4445048,24656,24705
4445048,24656,24754
4445048,24656,24817
4445048,24656,24866
4445048,24656,24915
4445048,24656,24964
4445048,24656,25013
4445048,24656,25062
4445048,24656,25119
4445048,24656,25168
4445048,24656,25217
4445048,24656,25266
4445048,24656,25315
4444598,24657,24706
4444598,24657,24755
4444598,24657,24818
4444598,24657,24867
4444598,24657,24916
4444598,24657,24965
4444598,24657,25014
4444598,24657,25063
4444598,24657,25120
4444598,24657,25169
4444598,24657,25218
4444598,24657,25267
4444598,24657,25316
4444494,24658,24707
4444494,24658,24756
4444494,24658,24819
4444494,24658,24868
4444494,24658,24917
4444494,24658,24966
4444494,24658,25015
4444494,24658,25064
4444494,24658,25121
4444494,24658,25170
4444494,24658,25219
4444494,24658,25268
4444494,24658,25317
4444216,24659,24708
4444216,24659,24757
4444216,24659,24820
4444216,24659,24869
4444216,24659,24918
4444216,24659,24967
4444216,24659,25016
4444216,24659,25065
4444216,24659,25122
4444216,24659,25171
4444216,24659,25220
4444216,24659,25269
4444216,24659,25318
4444117,24660,24709
4444117,24660,24758
4444117,24660,24821
4444117,24660,24870
4444117,24660,24919
4444117,24660,24968
4444117,24660,25017
